"period","geography","vehicle_type","powertrain","observation_level","source_id","sales","unit","period_type","metric","estimate_status","coverage_status","preferred_for_projection","notes","source_grade","source_type","publisher","tesla_scope","powertrain_canonical","market_scope","row_quality","uncertainty_band_percent","lower_sales","upper_sales","projection_caveat","row_count","range_sales"
"2023","Australia","light_commercial","total","vehicle_type_total","carexpert_2023_full",274185,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,268701,279669,"",2,2995
"2023","Australia","passenger","total","vehicle_type_total","aaa_ev_index",196810,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,195826,197794,"",2,14551
"2023","Australia","passenger","total","vehicle_type_total","carexpert_2023_full",211361,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,207134,215588,"",2,14551
"2023","Australia","SUV","total","vehicle_type_total","aaa_ev_index",679462,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,676065,682859,"",2,0
"2023","Australia","SUV","total","vehicle_type_total","carexpert_2023_full",679462,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Category breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,665873,693051,"",2,0
"2023","Australia","total","BEV","powertrain_total","aaa_ev_index",87217,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","BEV","light_vehicle","direct_dashboard_complete",0.5,86781,87653,"",2,0
"2023","Australia","total","BEV","powertrain_total","carexpert_2023_full",87217,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","BEV","all_new_vehicles","direct_media_vfacts_quote",2,85473,88961,"",2,0
"2023","Australia","total","HEV","powertrain_total","aaa_ev_index",98439,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","HEV","light_vehicle","direct_dashboard_complete",0.5,97947,98931,"",2,0
"2023","Australia","total","HEV","powertrain_total","carexpert_2023_full",98439,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","HEV","all_new_vehicles","direct_media_vfacts_quote",2,96470,100408,"",2,0
"2023","Australia","total","PHEV","powertrain_total","aaa_ev_index",11219,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","PHEV","light_vehicle","direct_dashboard_complete",0.5,11163,11275,"",2,7
"2023","Australia","total","PHEV","powertrain_total","carexpert_2023_full",11212,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Fuel-type breakdown.","B","media_vfacts_quote","CarExpert","unknown_or_mixed","PHEV","all_new_vehicles","direct_media_vfacts_quote",2,10988,11436,"",2,7
