"year","quarter_num","quarter","state","vehicle_type","broad_vehicle_type","fuel_type","sales"
2022,1,"Q1 2022","SOUTH AUSTRALIA","Large SUV","SUV","BEV",14
2022,1,"Q1 2022","TASMANIA","Large SUV","SUV","BEV",2
2022,1,"Q1 2022","VICTORIA","Large SUV","SUV","BEV",67
2022,1,"Q1 2022","WESTERN AUSTRALIA","Large SUV","SUV","BEV",20
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Medium SUV","SUV","BEV",19
2022,1,"Q1 2022","NEW SOUTH WALES","Medium SUV","SUV","BEV",150
2022,1,"Q1 2022","NORTHERN TERRITORY","Medium SUV","SUV","BEV",0
2022,1,"Q1 2022","QUEENSLAND","Medium SUV","SUV","BEV",67
2022,1,"Q1 2022","SOUTH AUSTRALIA","Medium SUV","SUV","BEV",19
2022,1,"Q1 2022","TASMANIA","Medium SUV","SUV","BEV",4
2022,1,"Q1 2022","VICTORIA","Medium SUV","SUV","BEV",110
2022,1,"Q1 2022","WESTERN AUSTRALIA","Medium SUV","SUV","BEV",22
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Small SUV","SUV","BEV",36
2022,1,"Q1 2022","NEW SOUTH WALES","Small SUV","SUV","BEV",313
2022,1,"Q1 2022","NORTHERN TERRITORY","Small SUV","SUV","BEV",5
2022,1,"Q1 2022","QUEENSLAND","Small SUV","SUV","BEV",206
2022,1,"Q1 2022","SOUTH AUSTRALIA","Small SUV","SUV","BEV",67
2022,1,"Q1 2022","TASMANIA","Small SUV","SUV","BEV",27
2022,1,"Q1 2022","VICTORIA","Small SUV","SUV","BEV",256
2022,1,"Q1 2022","WESTERN AUSTRALIA","Small SUV","SUV","BEV",71
2022,1,"Q1 2022","NEW SOUTH WALES","Large Car","passenger","FCEV",2
2022,1,"Q1 2022","VICTORIA","Large Car","passenger","FCEV",3
2022,1,"Q1 2022","NEW SOUTH WALES","Medium SUV","SUV","FCEV",1
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","light_commercial","HEV",0
2022,1,"Q1 2022","NEW SOUTH WALES","Ute (4WD)","light_commercial","HEV",0
2022,1,"Q1 2022","NORTHERN TERRITORY","Ute (4WD)","light_commercial","HEV",0
2022,1,"Q1 2022","QUEENSLAND","Ute (4WD)","light_commercial","HEV",0
2022,1,"Q1 2022","SOUTH AUSTRALIA","Ute (4WD)","light_commercial","HEV",0
2022,1,"Q1 2022","TASMANIA","Ute (4WD)","light_commercial","HEV",0
2022,1,"Q1 2022","VICTORIA","Ute (4WD)","light_commercial","HEV",0
2022,1,"Q1 2022","WESTERN AUSTRALIA","Ute (4WD)","light_commercial","HEV",0
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Large Car","passenger","HEV",1
2022,1,"Q1 2022","NEW SOUTH WALES","Large Car","passenger","HEV",0
2022,1,"Q1 2022","NORTHERN TERRITORY","Large Car","passenger","HEV",1
2022,1,"Q1 2022","QUEENSLAND","Large Car","passenger","HEV",0
2022,1,"Q1 2022","SOUTH AUSTRALIA","Large Car","passenger","HEV",0
2022,1,"Q1 2022","VICTORIA","Large Car","passenger","HEV",1
2022,1,"Q1 2022","WESTERN AUSTRALIA","Large Car","passenger","HEV",0
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Medium Car","passenger","HEV",61
2022,1,"Q1 2022","NEW SOUTH WALES","Medium Car","passenger","HEV",1022
2022,1,"Q1 2022","NORTHERN TERRITORY","Medium Car","passenger","HEV",19
2022,1,"Q1 2022","QUEENSLAND","Medium Car","passenger","HEV",577
2022,1,"Q1 2022","SOUTH AUSTRALIA","Medium Car","passenger","HEV",396
2022,1,"Q1 2022","TASMANIA","Medium Car","passenger","HEV",29
2022,1,"Q1 2022","VICTORIA","Medium Car","passenger","HEV",812
2022,1,"Q1 2022","WESTERN AUSTRALIA","Medium Car","passenger","HEV",299
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Small Car","passenger","HEV",75
2022,1,"Q1 2022","NEW SOUTH WALES","Small Car","passenger","HEV",1252
2022,1,"Q1 2022","NORTHERN TERRITORY","Small Car","passenger","HEV",56
2022,1,"Q1 2022","QUEENSLAND","Small Car","passenger","HEV",771
2022,1,"Q1 2022","SOUTH AUSTRALIA","Small Car","passenger","HEV",286
2022,1,"Q1 2022","TASMANIA","Small Car","passenger","HEV",70
2022,1,"Q1 2022","VICTORIA","Small Car","passenger","HEV",880
2022,1,"Q1 2022","WESTERN AUSTRALIA","Small Car","passenger","HEV",383
2022,1,"Q1 2022","NEW SOUTH WALES","Sports Car","passenger","HEV",0
2022,1,"Q1 2022","QUEENSLAND","Sports Car","passenger","HEV",0
2022,1,"Q1 2022","SOUTH AUSTRALIA","Sports Car","passenger","HEV",0
2022,1,"Q1 2022","VICTORIA","Sports Car","passenger","HEV",0
2022,1,"Q1 2022","WESTERN AUSTRALIA","Sports Car","passenger","HEV",0
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","People Mover","people_mover","HEV",0
2022,1,"Q1 2022","NEW SOUTH WALES","People Mover","people_mover","HEV",0
2022,1,"Q1 2022","NORTHERN TERRITORY","People Mover","people_mover","HEV",0
2022,1,"Q1 2022","QUEENSLAND","People Mover","people_mover","HEV",0
2022,1,"Q1 2022","SOUTH AUSTRALIA","People Mover","people_mover","HEV",0
2022,1,"Q1 2022","TASMANIA","People Mover","people_mover","HEV",0
2022,1,"Q1 2022","VICTORIA","People Mover","people_mover","HEV",0
2022,1,"Q1 2022","WESTERN AUSTRALIA","People Mover","people_mover","HEV",0
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Large SUV","SUV","HEV",29
2022,1,"Q1 2022","NEW SOUTH WALES","Large SUV","SUV","HEV",512
2022,1,"Q1 2022","NORTHERN TERRITORY","Large SUV","SUV","HEV",4
2022,1,"Q1 2022","QUEENSLAND","Large SUV","SUV","HEV",194
2022,1,"Q1 2022","SOUTH AUSTRALIA","Large SUV","SUV","HEV",78
2022,1,"Q1 2022","TASMANIA","Large SUV","SUV","HEV",9
2022,1,"Q1 2022","VICTORIA","Large SUV","SUV","HEV",362
2022,1,"Q1 2022","WESTERN AUSTRALIA","Large SUV","SUV","HEV",92
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Medium SUV","SUV","HEV",168
2022,1,"Q1 2022","NEW SOUTH WALES","Medium SUV","SUV","HEV",3365
2022,1,"Q1 2022","NORTHERN TERRITORY","Medium SUV","SUV","HEV",96
2022,1,"Q1 2022","QUEENSLAND","Medium SUV","SUV","HEV",1596
2022,1,"Q1 2022","SOUTH AUSTRALIA","Medium SUV","SUV","HEV",724
2022,1,"Q1 2022","TASMANIA","Medium SUV","SUV","HEV",168
2022,1,"Q1 2022","VICTORIA","Medium SUV","SUV","HEV",2265
2022,1,"Q1 2022","WESTERN AUSTRALIA","Medium SUV","SUV","HEV",882
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Small SUV","SUV","HEV",75
2022,1,"Q1 2022","NEW SOUTH WALES","Small SUV","SUV","HEV",1042
2022,1,"Q1 2022","NORTHERN TERRITORY","Small SUV","SUV","HEV",31
2022,1,"Q1 2022","QUEENSLAND","Small SUV","SUV","HEV",607
2022,1,"Q1 2022","SOUTH AUSTRALIA","Small SUV","SUV","HEV",230
2022,1,"Q1 2022","TASMANIA","Small SUV","SUV","HEV",65
2022,1,"Q1 2022","VICTORIA","Small SUV","SUV","HEV",720
2022,1,"Q1 2022","WESTERN AUSTRALIA","Small SUV","SUV","HEV",272
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Ute (2WD)","light_commercial","ICE",111
2022,1,"Q1 2022","NEW SOUTH WALES","Ute (2WD)","light_commercial","ICE",2609
2022,1,"Q1 2022","NORTHERN TERRITORY","Ute (2WD)","light_commercial","ICE",196
2022,1,"Q1 2022","QUEENSLAND","Ute (2WD)","light_commercial","ICE",2318
2022,1,"Q1 2022","SOUTH AUSTRALIA","Ute (2WD)","light_commercial","ICE",471
2022,1,"Q1 2022","TASMANIA","Ute (2WD)","light_commercial","ICE",276
2022,1,"Q1 2022","VICTORIA","Ute (2WD)","light_commercial","ICE",1915
2022,1,"Q1 2022","WESTERN AUSTRALIA","Ute (2WD)","light_commercial","ICE",841
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","light_commercial","ICE",692
2022,1,"Q1 2022","NEW SOUTH WALES","Ute (4WD)","light_commercial","ICE",13389
2022,1,"Q1 2022","NORTHERN TERRITORY","Ute (4WD)","light_commercial","ICE",834
2022,1,"Q1 2022","QUEENSLAND","Ute (4WD)","light_commercial","ICE",11806
2022,1,"Q1 2022","SOUTH AUSTRALIA","Ute (4WD)","light_commercial","ICE",3236
2022,1,"Q1 2022","TASMANIA","Ute (4WD)","light_commercial","ICE",1236
2022,1,"Q1 2022","VICTORIA","Ute (4WD)","light_commercial","ICE",10932
2022,1,"Q1 2022","WESTERN AUSTRALIA","Ute (4WD)","light_commercial","ICE",5579
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Van","light_commercial","ICE",101
2022,1,"Q1 2022","NEW SOUTH WALES","Van","light_commercial","ICE",2344
2022,1,"Q1 2022","NORTHERN TERRITORY","Van","light_commercial","ICE",32
2022,1,"Q1 2022","QUEENSLAND","Van","light_commercial","ICE",1092
2022,1,"Q1 2022","SOUTH AUSTRALIA","Van","light_commercial","ICE",402
2022,1,"Q1 2022","TASMANIA","Van","light_commercial","ICE",79
2022,1,"Q1 2022","VICTORIA","Van","light_commercial","ICE",2028
2022,1,"Q1 2022","WESTERN AUSTRALIA","Van","light_commercial","ICE",410
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Large Car","passenger","ICE",31
2022,1,"Q1 2022","NEW SOUTH WALES","Large Car","passenger","ICE",428
2022,1,"Q1 2022","NORTHERN TERRITORY","Large Car","passenger","ICE",7
2022,1,"Q1 2022","QUEENSLAND","Large Car","passenger","ICE",236
2022,1,"Q1 2022","SOUTH AUSTRALIA","Large Car","passenger","ICE",75
2022,1,"Q1 2022","TASMANIA","Large Car","passenger","ICE",11
2022,1,"Q1 2022","VICTORIA","Large Car","passenger","ICE",351
2022,1,"Q1 2022","WESTERN AUSTRALIA","Large Car","passenger","ICE",132
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Medium Car","passenger","ICE",72
2022,1,"Q1 2022","NEW SOUTH WALES","Medium Car","passenger","ICE",1301
2022,1,"Q1 2022","NORTHERN TERRITORY","Medium Car","passenger","ICE",11
2022,1,"Q1 2022","QUEENSLAND","Medium Car","passenger","ICE",617
2022,1,"Q1 2022","SOUTH AUSTRALIA","Medium Car","passenger","ICE",207
2022,1,"Q1 2022","TASMANIA","Medium Car","passenger","ICE",34
2022,1,"Q1 2022","VICTORIA","Medium Car","passenger","ICE",1465
2022,1,"Q1 2022","WESTERN AUSTRALIA","Medium Car","passenger","ICE",206
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Small Car","passenger","ICE",597
2022,1,"Q1 2022","NEW SOUTH WALES","Small Car","passenger","ICE",10386
2022,1,"Q1 2022","NORTHERN TERRITORY","Small Car","passenger","ICE",188
2022,1,"Q1 2022","QUEENSLAND","Small Car","passenger","ICE",6299
2022,1,"Q1 2022","SOUTH AUSTRALIA","Small Car","passenger","ICE",1967
2022,1,"Q1 2022","TASMANIA","Small Car","passenger","ICE",590
2022,1,"Q1 2022","VICTORIA","Small Car","passenger","ICE",8459
2022,1,"Q1 2022","WESTERN AUSTRALIA","Small Car","passenger","ICE",2596
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Sports Car","passenger","ICE",29
2022,1,"Q1 2022","NEW SOUTH WALES","Sports Car","passenger","ICE",698
2022,1,"Q1 2022","NORTHERN TERRITORY","Sports Car","passenger","ICE",4
2022,1,"Q1 2022","QUEENSLAND","Sports Car","passenger","ICE",425
2022,1,"Q1 2022","SOUTH AUSTRALIA","Sports Car","passenger","ICE",106
2022,1,"Q1 2022","TASMANIA","Sports Car","passenger","ICE",24
2022,1,"Q1 2022","VICTORIA","Sports Car","passenger","ICE",649
2022,1,"Q1 2022","WESTERN AUSTRALIA","Sports Car","passenger","ICE",124
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","People Mover","people_mover","ICE",48
2022,1,"Q1 2022","NEW SOUTH WALES","People Mover","people_mover","ICE",1113
2022,1,"Q1 2022","NORTHERN TERRITORY","People Mover","people_mover","ICE",16
2022,1,"Q1 2022","QUEENSLAND","People Mover","people_mover","ICE",577
2022,1,"Q1 2022","SOUTH AUSTRALIA","People Mover","people_mover","ICE",110
2022,1,"Q1 2022","TASMANIA","People Mover","people_mover","ICE",35
2022,1,"Q1 2022","VICTORIA","People Mover","people_mover","ICE",791
2022,1,"Q1 2022","WESTERN AUSTRALIA","People Mover","people_mover","ICE",214
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Large SUV","SUV","ICE",485
2022,1,"Q1 2022","NEW SOUTH WALES","Large SUV","SUV","ICE",10213
2022,1,"Q1 2022","NORTHERN TERRITORY","Large SUV","SUV","ICE",373
2022,1,"Q1 2022","QUEENSLAND","Large SUV","SUV","ICE",7735
2022,1,"Q1 2022","SOUTH AUSTRALIA","Large SUV","SUV","ICE",2309
2022,1,"Q1 2022","TASMANIA","Large SUV","SUV","ICE",546
2022,1,"Q1 2022","VICTORIA","Large SUV","SUV","ICE",9737
2022,1,"Q1 2022","WESTERN AUSTRALIA","Large SUV","SUV","ICE",3833
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Medium SUV","SUV","ICE",622
2022,1,"Q1 2022","NEW SOUTH WALES","Medium SUV","SUV","ICE",11955
2022,1,"Q1 2022","NORTHERN TERRITORY","Medium SUV","SUV","ICE",192
2022,1,"Q1 2022","QUEENSLAND","Medium SUV","SUV","ICE",7597
2022,1,"Q1 2022","SOUTH AUSTRALIA","Medium SUV","SUV","ICE",2587
2022,1,"Q1 2022","TASMANIA","Medium SUV","SUV","ICE",628
2022,1,"Q1 2022","VICTORIA","Medium SUV","SUV","ICE",11427
2022,1,"Q1 2022","WESTERN AUSTRALIA","Medium SUV","SUV","ICE",4069
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Small SUV","SUV","ICE",725
2022,1,"Q1 2022","NEW SOUTH WALES","Small SUV","SUV","ICE",14024
2022,1,"Q1 2022","NORTHERN TERRITORY","Small SUV","SUV","ICE",334
2022,1,"Q1 2022","QUEENSLAND","Small SUV","SUV","ICE",9571
2022,1,"Q1 2022","SOUTH AUSTRALIA","Small SUV","SUV","ICE",3054
2022,1,"Q1 2022","TASMANIA","Small SUV","SUV","ICE",912
2022,1,"Q1 2022","VICTORIA","Small SUV","SUV","ICE",11923
2022,1,"Q1 2022","WESTERN AUSTRALIA","Small SUV","SUV","ICE",4393
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","light_commercial","PHEV",0
2022,1,"Q1 2022","NEW SOUTH WALES","Ute (4WD)","light_commercial","PHEV",0
2022,1,"Q1 2022","NORTHERN TERRITORY","Ute (4WD)","light_commercial","PHEV",0
2022,1,"Q1 2022","QUEENSLAND","Ute (4WD)","light_commercial","PHEV",0
2022,1,"Q1 2022","SOUTH AUSTRALIA","Ute (4WD)","light_commercial","PHEV",0
2022,1,"Q1 2022","TASMANIA","Ute (4WD)","light_commercial","PHEV",0
2022,1,"Q1 2022","VICTORIA","Ute (4WD)","light_commercial","PHEV",0
2022,1,"Q1 2022","WESTERN AUSTRALIA","Ute (4WD)","light_commercial","PHEV",0
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Van","light_commercial","PHEV",0
2022,1,"Q1 2022","NEW SOUTH WALES","Van","light_commercial","PHEV",0
2022,1,"Q1 2022","QUEENSLAND","Van","light_commercial","PHEV",0
2022,1,"Q1 2022","SOUTH AUSTRALIA","Van","light_commercial","PHEV",0
2022,1,"Q1 2022","TASMANIA","Van","light_commercial","PHEV",0
2022,1,"Q1 2022","VICTORIA","Van","light_commercial","PHEV",0
2022,1,"Q1 2022","WESTERN AUSTRALIA","Van","light_commercial","PHEV",0
2022,1,"Q1 2022","AUSTRALIAN CAPITAL TERRITORY","Large Car","passenger","PHEV",0
2022,1,"Q1 2022","NEW SOUTH WALES","Large Car","passenger","PHEV",3
2022,1,"Q1 2022","NORTHERN TERRITORY","Large Car","passenger","PHEV",0
2022,1,"Q1 2022","QUEENSLAND","Large Car","passenger","PHEV",3
2022,1,"Q1 2022","SOUTH AUSTRALIA","Large Car","passenger","PHEV",0
2022,1,"Q1 2022","TASMANIA","Large Car","passenger","PHEV",0
2022,1,"Q1 2022","VICTORIA","Large Car","passenger","PHEV",5
