"manufacturer_id","vehicle_class_id","fuel_type_id","source_id","query_year","vehicle_display_id","model","body","engine","transmission","drivetrain","tailpipe_co2_comb_g_km","tailpipe_co2_urban_g_km","tailpipe_co2_extra_g_km","annual_fuel_cost_aud","fuel_consumption_comb_l_100km","fuel_consumption_urban_l_100km","fuel_consumption_extra_l_100km","energy_consumption_wh_km","electric_range_km","air_pollution_standard","annual_tailpipe_co2_tonnes","fuel_lifecycle_co2_g_km","noise_data","test_cycle","source_url","raw_html_path","fuel_type_label","powertrain_group","vehicle_class_label","manufacturer_label"
2,4,4,"gvg_current_search",2025,"32399","Ford 24.00MY Everest Wildtrak 4WD","4 door 7 seat SUV","3L 6cyl Turbo Diesel","10 spd Auto","4WD",224,267,199,2451,8.5,10.2,7.6,NA,NA,"Euro 5",3.14,288,"74 dBA <br/>@ 2640 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"34058","Ford 24.50MY Ranger Double Cab TREMOR 4WD","4 door 5 seat Utility","2L 4cyl Turbo Diesel","10 spd Auto","4WD",230,244,222,2509,8.7,9.2,8.4,NA,NA,"Euro 6",3.22,295,"78 dBA <br/>@ 2813 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"34059","Ford 24.50MY Ranger Double Cab TREMOR 4WD","4 door 5 seat Utility","2L 4cyl Turbo Diesel","10 spd Auto","4WD",244,280,223,2682,9.3,10.7,8.5,NA,NA,"Euro 6",3.42,315,"78 dBA <br/>@ 2813 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"34192","Ford 25.00MY Everest Tremor 4WD","4 door 7 seat SUV","3L 6cyl Turbo Diesel","10 spd Auto","4WD",250,282,231,2740,9.5,10.7,8.8,NA,NA,"Euro 5",3.5,322,"74 dBA <br/>@ 2640 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"36993","Ford 25.50MY Everest Sport 4WD","4 door 7 seat SUV","2L 4cyl Turbo Diesel","10 spd Auto","4WD",190,219,174,2076,7.2,8.3,6.6,NA,NA,"Euro 5",2.66,244,"77 dBA <br/>@ 2847 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"36988","Ford 25.50MY Ranger Double Cab XL 4x2","4 door 5 seat Utility","2L 4cyl Turbo Diesel","6 spd Auto","2WD",186,214,170,2048,7.1,8.2,6.5,NA,NA,"Euro 5",2.6,240,"76 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"36989","Ford 25.50MY Ranger Double Cab XL 4x4","4 door 5 seat Cab-chassis","2L 4cyl Turbo Diesel","6 spd Auto","4WD",195,226,177,2134,7.4,8.6,6.7,NA,NA,"Euro 5",2.73,251,"76 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,7,4,"gvg_current_search",2025,"36990","Ford 25.50MY Ranger Double Cab XL 4x4","4 door 5 seat Utility","2L 4cyl Turbo Diesel","6 spd Auto","4WD",195,226,177,2134,7.4,8.6,6.7,NA,NA,"Euro 5",2.73,251,"76 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class7_make2.html","Diesel","ICE_diesel","Ute or Light Truck","Ford"
2,7,4,"gvg_current_search",2025,"36987","Ford 25.50MY Ranger Regular Cab XL 4x2","2 door 2 seat Cab-chassis","2L 4cyl Turbo Diesel","6 spd Auto","2WD",181,211,164,1990,6.9,8.1,6.2,NA,NA,"Euro 5",2.53,234,"76 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class7_make2.html","Diesel","ICE_diesel","Ute or Light Truck","Ford"
2,4,4,"gvg_current_search",2025,"36986","Ford 25.50MY Ranger Super Cab XL 4x2","4 door 4 seat Cab-chassis","2L 4cyl Turbo Diesel","6 spd Auto","2WD",181,211,164,1990,6.9,8.1,6.2,NA,NA,"Euro 5",2.53,234,"76 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"29743","Ford CA ENDURA Trend, Titanium, ST-Line","4 door 5 seat Wagon","2L 4cyl Turbo Diesel","8 spd Auto","2WD",175,218,150,1932,6.7,8.4,5.7,NA,NA,"Euro 5",2.45,227,"69 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"29744","Ford CA ENDURA Trend, Titanium, ST-Line, Vignale","4 door 5 seat Wagon","2L 4cyl Turbo Diesel","8 spd Auto","4WD",176,216,152,1932,6.7,8.3,5.8,NA,NA,"Euro 5",2.46,227,"70 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"28096","Ford MD Mondeo Ambiente","4 door 5 seat Hatch","2L 4cyl Turbo Diesel","6 spd Auto","2WD",135,153,124,1471,5.1,5.8,4.7,NA,NA,"Euro 5",1.89,173,"71 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"28099","Ford MD Mondeo Ambiente","4 door 5 seat Wagon","2L 4cyl Turbo Diesel","6 spd Auto","2WD",140,158,129,1529,5.3,6,4.9,NA,NA,"Euro 5",1.96,179,"71 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"28101","Ford MD Mondeo Titanium","4 door 5 seat Wagon","2L 4cyl Turbo Diesel","6 spd Auto","2WD",140,158,129,1529,5.3,6,4.9,NA,NA,"Euro 5",1.96,179,"71 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"28098","Ford MD Mondeo Titanium","4 door 5 seat Hatch","2L 4cyl Turbo Diesel","6 spd Auto","2WD",135,153,124,1471,5.1,5.8,4.7,NA,NA,"Euro 5",1.89,173,"71 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
2,4,4,"gvg_current_search",2025,"28100","Ford MD Mondeo Trend","4 door 5 seat Wagon","2L 4cyl Turbo Diesel","6 spd Auto","2WD",140,158,129,1529,5.3,6,4.9,NA,NA,"Euro 5",1.96,179,"71 dBA <br/>@ 2625 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make2.html","Diesel","ICE_diesel","Large Car","Ford"
