"period","stock_date","geography","state","vehicle_type","powertrain","stock","unit","period_type","metric","source_id","market_scope","coverage_status","notes"
2021,"2021-01-31","state:SA","SA","light_vehicle","BEV",687,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:SA","SA","light_vehicle","HEV_or_PHEV",14860,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:SA","SA","light_vehicle","ICE",1350410,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:SA","SA","light_vehicle","total",1365957,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2021,"2021-01-31","state:TAS","TAS","light_vehicle","BEV",384,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:TAS","TAS","light_vehicle","HEV_or_PHEV",3145,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:TAS","TAS","light_vehicle","ICE",456817,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:TAS","TAS","light_vehicle","total",460346,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2021,"2021-01-31","state:VIC","VIC","light_vehicle","BEV",4382,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:VIC","VIC","light_vehicle","HEV_or_PHEV",47893,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:VIC","VIC","light_vehicle","ICE",4712526,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:VIC","VIC","light_vehicle","total",4764801,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated across fuel types."
2021,"2021-01-31","state:WA","WA","light_vehicle","BEV",1369,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
2021,"2021-01-31","state:WA","WA","light_vehicle","HEV_or_PHEV",19808,"registered_vehicles","annual_stock","registered_stock","aaa_ev_index_registration","light_vehicle","stock_as_at_31_january","AAA EV Index registration workbook aggregated from postcode rows to state."
