"STATE","VEHICLE TYPE","MANUFACTURER","MODEL","FUEL TYPE","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026"
"NEW SOUTH WALES","Medium SUV","Honda","Honda ZR-V","Hybrid",0,0,0,0,0,1,52,139,165,133,82,47,90,112,85,90,107
"WESTERN AUSTRALIA","People Mover","Mercedes-Benz","Mercedes-Benz EQV","BEV",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","CUPRA","CUPRA Ateca","ICE",0,0,2,3,2,2,0,0,0,0,2,2,0,1,0,0,2
"VICTORIA","Sports Car","Porsche","Porsche Cayman","ICE",5,14,13,24,24,29,18,17,17,30,35,37,26,23,19,9,4
"QUEENSLAND","Medium SUV","Kia","Kia Sportage","ICE",759,972,903,1024,583,896,697,913,1015,726,856,1150,872,757,573,435,307
"AUSTRALIAN CAPITAL TERRITORY","Sports Car","Lamborghini","Lamborghini Coupe/Conv","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"QUEENSLAND","Medium SUV","Subaru","Subaru Forester","Hybrid",33,22,39,13,74,17,40,44,93,68,91,116,117,64,316,315,267
"WESTERN AUSTRALIA","Medium SUV","Mercedes-Benz Cars","Mercedes-Benz EQB","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Mercedes-Benz","Mercedes-Benz EQA","BEV",6,3,3,1,2,7,9,15,6,12,5,2,4,2,5,4,0
"VICTORIA","Large SUV","Jaguar","Jaguar F-Pace","ICE",11,15,34,3,13,32,31,24,38,21,29,14,19,22,13,3,0
"NEW SOUTH WALES","Van","Renault","Renault Kangoo","ICE",66,36,0,4,0,0,0,0,0,0,18,23,10,24,10,21,9
"TASMANIA","Small SUV","GWM","GWM Haval Jolion","Hybrid",0,0,0,0,0,0,1,3,7,4,4,6,14,3,9,9,38
"QUEENSLAND","Small SUV","Kia","Kia Stonic","ICE",348,542,436,310,419,524,329,226,335,218,321,507,379,311,391,303,244
"QUEENSLAND","Medium SUV","Subaru","Subaru Solterra","BEV",0,0,0,0,0,0,0,0,28,36,24,10,8,11,2,11,25
"VICTORIA","Van","Volkswagen","Volkswagen ID. Buzz Cargo","BEV",0,0,0,0,0,0,0,0,0,0,0,0,12,10,4,20,3
"QUEENSLAND","Medium Car","Honda","Honda Accord","ICE",2,2,4,1,0,1,5,1,0,0,0,0,0,0,0,0,0
"TASMANIA","Medium SUV","Mercedes-Benz","Mercedes-Benz GLC-Class Coupe","ICE",1,4,3,1,0,0,2,5,2,3,3,1,1,2,4,3,0
"NORTHERN TERRITORY","Small SUV","Mitsubishi","Mitsubishi Eclipse Cross","PHEV",0,1,4,1,0,3,1,3,6,8,5,8,7,0,0,2,0
"AUSTRALIAN CAPITAL TERRITORY","People Mover","Mercedes-Benz","Mercedes-Benz Marco Polo","ICE",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Sports Car","Subaru","Subaru BRZ","ICE",17,21,24,20,39,27,32,23,20,14,13,14,15,13,10,10,13
"VICTORIA","Ute (4WD)","Chevrolet","Chevrolet Silverado HD","ICE",43,60,36,68,71,106,80,57,86,119,85,104,73,86,107,122,54
"WESTERN AUSTRALIA","Medium SUV","Alfa Romeo","Alfa Romeo Stelvio","ICE",5,3,5,7,3,2,3,8,6,1,1,1,1,4,1,2,2
"TASMANIA","Small Car","MG","MG MG3","Hybrid",0,0,0,0,0,0,0,0,0,2,4,6,11,8,7,6,6
