"STATE","VEHICLE TYPE","MANUFACTURER","MODEL","FUEL TYPE","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026"
"NORTHERN TERRITORY","Large SUV","Hyundai","Hyundai Palisade","ICE",7,2,10,7,5,4,5,6,3,4,2,5,3,1,1,1,0
"QUEENSLAND","Ute (4WD)","SsangYong","KGM Musso/MusXLV","ICE",105,55,167,263,301,330,196,216,221,320,191,159,152,0,0,0,0
"TASMANIA","Small Car","Subaru","Subaru Impreza","ICE",20,18,22,25,19,19,6,6,7,9,12,11,13,9,8,5,3
"NORTHERN TERRITORY","Small SUV","Suzuki","Suzuki Ignis","ICE",7,4,3,4,8,7,9,10,9,8,5,9,6,0,5,1,30
"NEW SOUTH WALES","Medium SUV","Mazda","Mazda CX-5","ICE",2541,1962,2074,1730,1935,1349,1748,1821,1599,1792,1652,1418,1612,1830,1416,1488,1676
"QUEENSLAND","Medium SUV","Maserati","Maserati Grecale","ICE",0,0,0,0,10,33,28,20,18,19,14,5,12,9,11,7,11
"AUSTRALIAN CAPITAL TERRITORY","Sports Car","Bentley","Bentley Coupe/Conv","ICE",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"NEW SOUTH WALES","Small Car","Peugeot","Peugeot 308","ICE",0,0,3,39,15,19,25,19,10,7,14,3,5,4,5,5,1
"VICTORIA","Medium SUV","CUPRA","CUPRA Tavascan","BEV",0,0,0,0,0,0,0,0,0,0,0,0,3,44,27,27,39
"VICTORIA","Ute (4WD)","Toyota","Toyota Landcruiser PU/CC","ICE",476,605,593,371,360,470,541,523,522,479,459,407,311,382,325,277,166
"VICTORIA","Large Car","Mercedes-Benz Cars","Mercedes-Benz E-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"QUEENSLAND","Small Car","Mercedes-Benz","Mercedes-Benz A-Class","ICE",110,130,151,81,108,88,93,71,70,128,72,64,74,82,102,82,0
"SOUTH AUSTRALIA","Medium SUV","Kia","Kia Sportage","Hybrid",0,0,0,0,0,0,0,0,22,94,49,86,48,63,87,76,134
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Land Rover","Land Rover Range Rover Evoque","PHEV",0,0,0,0,0,3,0,3,3,4,0,1,1,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Kia","Kia EV3","BEV",0,0,0,0,0,0,0,0,0,0,0,0,5,28,36,29,27
"NEW SOUTH WALES","Medium SUV","Ford","Ford Escape","ICE",56,142,209,137,81,207,180,87,36,18,2,1,0,0,0,0,0
"NEW SOUTH WALES","Small SUV","Mazda","Mazda CX-3","ICE",1134,645,862,1270,1553,1091,1315,1053,1220,1365,1561,1283,1332,1213,1135,922,1074
"WESTERN AUSTRALIA","Sports Car","Mercedes-Benz","Mercedes-Benz C-Class Cpe/Conv","ICE",3,7,6,6,13,11,6,9,2,0,0,1,0,0,0,0,0
"SOUTH AUSTRALIA","Large SUV","Lamborghini","Lamborghini Urus","ICE",2,1,1,1,0,0,3,2,1,1,1,0,4,3,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Toyota","Toyota Kluger","Hybrid",23,65,46,36,18,36,26,31,27,38,36,27,32,39,54,12,18
"SOUTH AUSTRALIA","Large Car","Skoda","Skoda Superb","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"WESTERN AUSTRALIA","Medium SUV","Volkswagen","Volkswagen Tiguan","ICE",29,42,57,82,127,225,148,82,107,94,70,61,38,88,59,50,53
"TASMANIA","Van","Volkswagen","Volkswagen Transporter","ICE",2,7,7,10,3,2,2,2,3,9,0,3,0,4,0,5,1
"QUEENSLAND","Medium SUV","GWM","Haval H6","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,136,144,118,205,0
"VICTORIA","Small SUV","Subaru","Subaru XV","ICE",444,431,522,595,294,32,1,0,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Ute (4WD)","Mazda","Mazda BT-50","ICE",818,378,194,566,861,1144,777,834,780,746,797,808,834,809,735,785,668
"AUSTRALIAN CAPITAL TERRITORY","Small Car","Toyota","Toyota Yaris","Hybrid",3,3,6,3,2,1,3,0,0,5,3,3,3,8,8,3,5
"NEW SOUTH WALES","Small SUV","Honda","Honda HR-V","ICE",499,363,287,203,115,53,21,77,138,84,5,48,148,138,119,112,109
"SOUTH AUSTRALIA","Van","Farizon","Farizon Supervan","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"AUSTRALIAN CAPITAL TERRITORY","Small Car","MINI","MINI Cooper","BEV",0,0,0,0,0,0,0,0,0,0,8,6,4,6,6,4,3
"WESTERN AUSTRALIA","Medium Car","Volvo","Volvo V60 Cross Country","ICE",3,2,1,2,0,2,3,3,5,5,2,2,0,2,1,0,0
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","GWM","GWM Haval H7","Hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4
"NORTHERN TERRITORY","Van","Hyundai","Hyundai Staria Load","ICE",6,8,9,10,1,8,10,2,7,4,7,4,9,8,3,5,6
"TASMANIA","Large SUV","Audi","Audi e-tron","BEV",0,4,2,1,1,1,0,3,3,0,3,0,0,0,0,0,0
"NEW SOUTH WALES","Medium SUV","Jeep","Jeep Cherokee","ICE",20,28,32,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"VICTORIA","Van","LDV","LDV G10/G10+","ICE",296,165,286,261,251,354,266,245,255,229,196,157,144,127,110,85,87
"SOUTH AUSTRALIA","Small Car","Volkswagen","Volkswagen Polo","ICE",52,24,16,10,4,21,9,53,23,44,16,13,7,17,33,19,19
"WESTERN AUSTRALIA","Van","Peugeot","Peugeot Expert","ICE",4,10,1,3,2,7,7,7,3,18,19,5,8,4,8,1,2
"AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","Isuzu Ute","Isuzu Ute D-Max","ICE",56,87,56,37,40,47,65,93,76,81,63,55,50,44,40,45,35
"TASMANIA","Medium Car","BMW","BMW i4","BEV",0,2,2,1,0,1,0,1,6,2,4,4,1,0,0,0,0
"WESTERN AUSTRALIA","Large SUV","Genesis","Genesis GV80 Wagon","ICE",0,4,3,3,2,3,7,7,3,2,2,3,3,3,1,5,3
"WESTERN AUSTRALIA","People Mover","Mercedes-Benz","Mercedes-Benz Vito/eVito Tour","ICE",0,0,2,1,1,1,1,1,0,1,4,1,2,0,2,0,0
"WESTERN AUSTRALIA","Medium SUV","GWM","Haval H6","ICE",43,162,165,248,173,289,212,207,145,260,239,239,242,241,222,123,0
"WESTERN AUSTRALIA","Large SUV","Land Rover","Land Rover Range Rover Sport","PHEV",0,0,0,0,0,0,3,5,2,5,4,8,3,7,7,3,8
"VICTORIA","Large Car","Maserati","Maserati Ghibli","ICE",9,6,8,12,2,3,2,3,3,0,1,2,2,2,0,0,0
"SOUTH AUSTRALIA","Small Car","CUPRA","CUPRA Leon","ICE",0,0,3,1,5,4,5,7,3,4,6,4,3,2,3,10,3
"TASMANIA","Large SUV","Mercedes-Benz","Mercedes-Benz GLE-Class Coupe","ICE",0,0,0,1,1,0,1,3,1,0,1,0,1,0,1,2,0
"SOUTH AUSTRALIA","Medium SUV","Genesis","Genesis GV60","BEV",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Medium SUV","GWM","GWM Haval H6","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
"WESTERN AUSTRALIA","Large Car","BMW","BMW 5 Series","PHEV",0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Volkswagen","Volkswagen Tayron","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,12
"SOUTH AUSTRALIA","Medium SUV","Omoda Jaecoo","Omoda Jaecoo J7","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,26
"WESTERN AUSTRALIA","Sports Car","MG","MG Cyberster","BEV",0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,2,0
"QUEENSLAND","Sports Car","Mercedes-Benz","Mercedes-AMG GT Cpe/Conv","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"WESTERN AUSTRALIA","Medium SUV","Audi","Audi Q5","ICE",59,51,25,30,52,67,31,68,38,9,11,68,46,25,22,91,37
"NEW SOUTH WALES","Medium SUV","Alfa Romeo","Alfa Romeo Stelvio","ICE",27,11,17,14,7,4,6,12,10,5,7,7,8,2,2,5,6
"NEW SOUTH WALES","Small Car","Hyundai","Hyundai i30","Hybrid",0,0,0,0,0,0,0,0,169,140,103,127,130,213,93,81,139
"TASMANIA","Medium Car","Kia","Kia EV4","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"WESTERN AUSTRALIA","Medium SUV","Kia","Kia EV5","BEV",0,0,0,0,0,0,0,0,0,0,0,39,163,126,122,82,108
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","BMW","BMW X3","PHEV",2,1,0,2,1,0,3,0,1,4,1,0,4,15,18,9,9
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Subaru","Subaru Forester","ICE",55,67,37,65,103,71,67,55,57,58,48,34,49,49,31,20,20
"QUEENSLAND","Large SUV","Jaguar","Jaguar F-Pace","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0
"AUSTRALIAN CAPITAL TERRITORY","Van","Mitsubishi","Mitsubishi Express","ICE",2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Sports Car","Nissan","Nissan Z","ICE",0,0,0,2,1,0,3,1,1,0,2,3,1,3,0,0,0
"WESTERN AUSTRALIA","Van","LDV","LDV eDeliver 7","BEV",0,0,0,0,0,0,0,0,5,13,3,2,5,1,4,1,3
"AUSTRALIAN CAPITAL TERRITORY","Sports Car","Mercedes-Benz Cars","Mercedes-Benz CLE-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"QUEENSLAND","Medium SUV","Volkswagen","Volkswagen ID.4","BEV",0,0,0,0,0,0,0,0,0,0,0,0,9,19,78,65,57
"VICTORIA","Small Car","Peugeot","Peugeot 208/e208","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"SOUTH AUSTRALIA","Small SUV","Nissan","Nissan Qashqai","ICE",1,1,0,8,139,95,125,99,128,61,89,54,59,52,39,37,12
"NEW SOUTH WALES","People Mover","Mercedes-Benz","Mercedes-Benz Valente","ICE",12,11,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"NORTHERN TERRITORY","Small Car","GWM","GWM Ora","BEV",0,0,0,0,0,1,3,1,4,2,6,0,1,1,1,2,1
"SOUTH AUSTRALIA","Small SUV","Volvo","Volvo XC40","ICE",46,28,18,32,27,36,20,18,21,16,20,11,18,20,26,23,0
"SOUTH AUSTRALIA","Large SUV","Jaguar","Jaguar I-Pace","BEV",1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0
"SOUTH AUSTRALIA","Large Car","BMW","BMW i7","BEV",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Medium SUV","Peugeot","Peugeot 408","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0
"SOUTH AUSTRALIA","Small SUV","Suzuki","Suzuki Ignis","ICE",55,33,31,35,54,34,42,49,38,25,38,42,20,45,17,19,37
"TASMANIA","Small SUV","Volvo Car","Volvo XC40","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"NEW SOUTH WALES","Ute (4WD)","Isuzu Ute","Isuzu Ute D-Max","ICE",1263,1524,1448,1045,1443,1378,1510,2242,1755,1653,1544,1546,1386,1744,1533,1287,1305
"SOUTH AUSTRALIA","Sports Car","MINI","MINI Cabrio","ICE",6,4,5,0,2,5,12,8,2,5,0,0,2,7,4,8,3
"SOUTH AUSTRALIA","Medium Car","Volvo","Volvo S60","ICE",1,2,1,2,1,2,0,1,1,0,0,1,1,0,0,0,0
"NORTHERN TERRITORY","Medium SUV","Tesla","Tesla Model Y","BEV",0,0,3,4,3,17,28,19,2,20,10,6,3,12,17,13,10
"WESTERN AUSTRALIA","Large SUV","Volvo Car","Volvo XC90","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Subaru","Subaru Crosstrek","ICE",0,0,0,0,0,50,76,41,46,38,39,43,38,30,22,23,22
"WESTERN AUSTRALIA","Medium Car","Honda","Honda Accord","ICE",0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Large SUV","Hyundai","Hyundai Santa Fe","ICE",228,469,340,305,327,417,447,341,353,97,43,19,87,107,96,74,74
"WESTERN AUSTRALIA","Large SUV","Lotus","Lotus Eletre","BEV",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"WESTERN AUSTRALIA","Sports Car","Mazda","Mazda MX5","ICE",7,7,14,9,8,6,13,16,6,18,26,5,6,21,15,13,29
"AUSTRALIAN CAPITAL TERRITORY","Sports Car","Lexus","Lexus LC","ICE",0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Medium Car","Volvo","Volvo S60","PHEV",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"WESTERN AUSTRALIA","Small Car","Hyundai","Hyundai i30","Hybrid",0,0,0,0,0,0,0,0,66,50,29,62,21,61,36,27,64
"NEW SOUTH WALES","Van","Ford","Ford Transit Custom","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10
"TASMANIA","Small SUV","Renault","Renault Megane E-Tech","BEV",0,0,0,0,0,0,0,0,1,4,3,1,0,1,0,2,1
"WESTERN AUSTRALIA","People Mover","Kia","Kia Carnival","ICE",117,231,166,179,330,223,324,219,138,190,194,208,213,214,262,209,217
"NEW SOUTH WALES","Medium SUV","Volvo","Volvo XC60","ICE",450,313,183,157,206,331,148,135,149,210,66,53,162,132,201,203,0
"NEW SOUTH WALES","Ute (4WD)","Mitsubishi","Mitsubishi Triton","ICE",2638,1855,1602,1081,1004,1319,586,1045,1009,933,834,958,1127,1081,1018,1131,1454
"WESTERN AUSTRALIA","Medium SUV","Mercedes-Benz","Mercedes-Benz GLB-Class","ICE",20,9,29,14,21,45,10,8,9,11,16,12,11,6,7,10,0
"NEW SOUTH WALES","Medium SUV","BMW","BMW IX3","BEV",30,42,57,43,42,61,53,46,72,75,83,81,35,20,9,0,0
"NEW SOUTH WALES","Medium Car","Genesis","Genesis G70","ICE",10,14,14,20,16,18,5,22,5,12,7,5,9,8,6,4,5
"AUSTRALIAN CAPITAL TERRITORY","Small Car","BYD","BYD Atto 1","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"VICTORIA","Small Car","Skoda","Skoda Fabia","ICE",17,0,28,48,33,36,25,45,38,35,20,17,30,23,21,16,20
"QUEENSLAND","Large SUV","Lamborghini","Lamborghini Urus","ICE",5,9,1,7,5,0,9,5,3,15,9,4,6,10,8,11,1
"SOUTH AUSTRALIA","Medium SUV","Peugeot","Peugeot 408","ICE",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1
"NEW SOUTH WALES","Medium Car","Toyota","Toyota Camry","Hybrid",942,360,884,378,279,616,1215,1104,1367,1805,1107,499,623,789,1030,747,1056
"TASMANIA","Large SUV","Volvo","Volvo XC90","ICE",1,7,6,3,1,2,4,0,3,2,2,4,0,2,2,2,0
"TASMANIA","Small Car","CUPRA","CUPRA Leon","ICE",0,0,0,0,0,0,2,0,2,1,1,0,2,1,1,3,2
"QUEENSLAND","Van","LDV","LDV Deliver 7","ICE",0,0,0,0,0,0,0,0,0,0,0,13,77,79,58,81,65
"SOUTH AUSTRALIA","Large SUV","Toyota","Toyota Landcruiser Wagon","ICE",165,289,264,312,200,272,345,295,325,310,388,291,71,376,366,329,262
"VICTORIA","Large SUV","Land Rover","Land Rover Range Rover Sport","ICE",106,127,15,24,95,267,149,142,149,166,105,113,124,181,166,114,98
"NEW SOUTH WALES","Small SUV","Lexus","Lexus UX","Hybrid",63,45,59,48,44,206,214,145,59,77,56,100,103,120,155,123,18
"VICTORIA","Medium Car","Lexus","Lexus ES","ICE",13,18,23,16,26,11,15,8,7,9,8,7,1,0,4,0,0
"TASMANIA","Sports Car","Lexus","Lexus LC","ICE",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SOUTH AUSTRALIA","Sports Car","Lamborghini","Lamborghini Coupe/Conv","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0
"NEW SOUTH WALES","Small SUV","Volvo","Volvo C40","BEV",0,0,10,185,63,125,83,39,45,56,86,60,68,0,7,0,0
"NORTHERN TERRITORY","Sports Car","MINI","MINI Cabrio","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"WESTERN AUSTRALIA","Large SUV","Ferrari","Ferrari Purosangue","ICE",0,0,0,0,0,0,0,0,1,2,2,3,0,0,1,2,2
"WESTERN AUSTRALIA","Small SUV","Volkswagen","Volkswagen T-Roc","ICE",99,10,42,176,175,190,159,172,133,182,128,147,81,120,90,91,70
"AUSTRALIAN CAPITAL TERRITORY","Ute (2WD)","Nissan","Nissan Navara","ICE",4,4,1,3,0,1,4,12,4,2,8,0,0,0,0,0,0
"SOUTH AUSTRALIA","Small SUV","Stellantis","Alfa Romeo Junior","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"VICTORIA","Sports Car","Chevrolet","Chevrolet Corvette Z06","ICE",0,0,0,0,0,0,0,0,0,0,6,9,6,2,2,4,1
"WESTERN AUSTRALIA","Small Car","MG","MG MG4","BEV",0,0,0,0,0,0,106,293,160,234,152,619,277,156,37,28,307
"NEW SOUTH WALES","Large SUV","Chery","Chery Tiggo 8 Pro","ICE",0,0,0,0,0,0,0,0,0,94,196,267,207,224,155,161,154
"VICTORIA","Small SUV","MINI","MINI Countryman","BEV",0,0,0,0,0,0,0,0,0,4,79,88,80,75,69,44,61
"NEW SOUTH WALES","Ute (2WD)","Mazda","Mazda BT-50","ICE",245,47,258,108,146,379,320,315,233,256,208,203,263,262,164,255,206
"AUSTRALIAN CAPITAL TERRITORY","Van","Ford","Ford Transit Custom","ICE",6,3,7,10,9,11,5,9,10,4,5,6,6,13,13,7,6
"NEW SOUTH WALES","Medium SUV","CUPRA","CUPRA Terramar","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,24,39
"QUEENSLAND","Sports Car","Mazda","Mazda MX5","ICE",26,29,44,36,30,6,37,52,21,37,46,38,30,70,55,39,36
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","BMW","BMW X7","ICE",5,6,4,0,3,2,4,5,4,6,4,8,2,10,2,7,2
"WESTERN AUSTRALIA","Ute (4WD)","GWM","GWM Cannon/Cannon Alpha","Hybrid",0,0,0,0,0,0,0,0,0,0,24,19,28,16,2,0,0
"AUSTRALIAN CAPITAL TERRITORY","Van","Mercedes-Benz","Mercedes-Benz Vito/eVito Van","BEV",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"NORTHERN TERRITORY","Medium SUV","Honda","Honda CR-V","Hybrid",0,0,0,0,0,0,0,0,6,1,0,1,0,0,1,0,1
"WESTERN AUSTRALIA","Large SUV","Porsche","Porsche Cayenne Wagon","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"WESTERN AUSTRALIA","Medium SUV","Tesla","Tesla Model Y","BEV",0,0,439,453,299,884,647,849,323,570,642,306,405,723,655,477,461
"NEW SOUTH WALES","Small SUV","Volvo","Volvo XC40","ICE",423,414,437,284,300,378,253,310,168,196,217,148,184,144,255,122,0
"SOUTH AUSTRALIA","Large Car","BMW","BMW 5 Series","ICE",3,4,5,1,1,8,2,3,3,3,1,3,3,2,1,0,2
"NORTHERN TERRITORY","Ute (4WD)","GWM","GWM Cannon/Cannon Alpha","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3
"QUEENSLAND","Medium SUV","MG","MG HS","PHEV",47,201,78,105,93,157,110,118,24,25,30,45,16,2,26,7,30
"TASMANIA","Large SUV","Mazda","Mazda CX-8","ICE",9,15,15,13,8,16,6,47,9,12,4,4,2,0,0,0,0
"WESTERN AUSTRALIA","Large SUV","Lexus","Lexus LX","ICE",0,11,5,2,12,22,18,12,11,7,5,23,4,11,9,8,14
"QUEENSLAND","Sports Car","Mercedes-Benz","Mercedes-Benz E-Class Cpe/Conv","ICE",8,7,14,2,6,19,5,4,1,0,0,0,1,0,0,0,0
"QUEENSLAND","Large SUV","GWM","GWM Tank 300","ICE",0,0,0,0,0,63,45,375,246,248,195,183,168,363,328,360,319
"NORTHERN TERRITORY","Small Car","Hyundai","Hyundai Ioniq","BEV",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TASMANIA","Large Car","Mercedes-Benz","Mercedes-Benz E-Class","PHEV",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"VICTORIA","Large SUV","Lexus","Lexus GX","ICE",0,0,0,0,0,0,0,0,0,0,88,177,67,66,79,94,67
"WESTERN AUSTRALIA","Large Car","Bentley","Bentley Sedan","PHEV",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
"QUEENSLAND","Ute (4WD)","Volkswagen","Volkswagen Amarok","ICE",270,269,208,406,127,356,353,687,547,614,405,387,326,381,311,234,246
"VICTORIA","Small SUV","Volvo","Volvo EX30","BEV",0,0,0,0,0,0,0,0,0,233,170,127,80,90,68,61,0
"NEW SOUTH WALES","Large SUV","Denza","Denza B5","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
"TASMANIA","Large SUV","Land Rover","Land Rover Range Rover Sport","ICE",4,4,3,2,3,10,8,11,9,9,8,7,5,6,8,9,2
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Hyundai","Hyundai Santa Fe","Hybrid",0,0,0,6,7,9,6,9,5,15,29,27,27,17,40,22,22
"VICTORIA","Small SUV","Lexus","Lexus UX","BEV",7,2,3,4,3,6,8,9,8,4,2,8,7,1,0,2,2
"QUEENSLAND","People Mover","Mercedes-Benz","Mercedes-Benz Vito/eVito Tour","BEV",0,0,0,0,1,1,0,0,0,0,0,2,0,4,1,0,0
"NORTHERN TERRITORY","Ute (2WD)","GWM","GWM Ute","ICE",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Large SUV","Maserati","Maserati Levante","ICE",25,33,21,12,6,14,6,2,2,0,2,4,1,0,0,0,0
"VICTORIA","Sports Car","McLaren","McLaren Coupe/Conv","ICE",2,6,5,5,5,5,6,1,1,1,4,2,5,2,2,3,0
"AUSTRALIAN CAPITAL TERRITORY","Small Car","Ford","Ford Focus","ICE",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VICTORIA","Medium SUV","Volvo Car","Volvo XC60","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"SOUTH AUSTRALIA","Medium SUV","Honda","Honda CR-V","Hybrid",0,0,0,0,0,0,0,23,33,26,20,13,16,23,26,11,15
"NEW SOUTH WALES","Medium Car","Alfa Romeo","Alfa Romeo Giulia","ICE",20,17,25,22,13,7,23,10,14,14,11,0,8,16,13,9,6
"SOUTH AUSTRALIA","Medium Car","Kia","Kia EV4","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Ford","Ford Everest","ICE",29,24,29,36,47,14,51,50,45,61,66,78,39,82,75,68,64
"AUSTRALIAN CAPITAL TERRITORY","Sports Car","Porsche","Porsche Cayman","ICE",1,1,0,1,1,0,2,2,2,5,4,3,2,0,1,2,0
"TASMANIA","Ute (4WD)","SsangYong","KGM Musso/MusXLV","ICE",16,4,18,21,27,30,34,37,19,72,21,13,22,0,0,0,0
"WESTERN AUSTRALIA","Small SUV","MINI","MINI Countryman","PHEV",1,5,3,0,5,7,8,5,3,0,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Small SUV","Hyundai","Hyundai Kona","ICE",376,342,158,264,331,234,316,277,296,330,299,250,338,389,376,357,265
"VICTORIA","Large SUV","Volkswagen","Volkswagen Touareg","PHEV",0,0,0,0,0,0,0,0,0,0,21,27,15,12,1,2,6
"NORTHERN TERRITORY","Small SUV","Nissan","Nissan Qashqai","ICE",0,0,0,0,12,8,18,13,13,9,11,3,6,4,7,5,0
"SOUTH AUSTRALIA","Large SUV","Denza","Denza B5","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"SOUTH AUSTRALIA","Medium SUV","Genesis","Genesis GV70","BEV",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Medium SUV","KGM","KGM Torres","Hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NEW SOUTH WALES","Medium SUV","Mercedes-Benz","Mercedes-Benz GLC-Class Wagon","PHEV",20,41,33,22,5,7,1,0,1,0,1,14,14,13,52,89,0
"NORTHERN TERRITORY","Medium SUV","Chery","Chery Tiggo 7 Pro","ICE",0,0,0,0,0,0,0,3,2,1,1,1,2,3,5,0,5
"WESTERN AUSTRALIA","Small SUV","Chery","Chery C5/E5 & Omoda 5","ICE",0,0,0,0,0,174,241,299,241,215,196,214,95,110,114,82,66
"VICTORIA","Small SUV","Volvo","Volvo C40","BEV",0,0,0,126,77,114,85,32,36,29,32,16,45,0,0,0,0
"QUEENSLAND","Medium SUV","Mercedes-Benz","Mercedes-Benz GLC-Class Wagon","PHEV",19,33,21,8,3,1,0,0,0,0,0,5,5,6,16,35,0
"VICTORIA","Small Car","Mercedes-Benz","Mercedes-Benz A-Class","ICE",335,353,312,258,291,289,259,187,139,320,176,145,198,175,155,300,0
"WESTERN AUSTRALIA","Ute (2WD)","Kia","Kia Tasman","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6
"SOUTH AUSTRALIA","Ute (2WD)","GWM","GWM Ute","ICE",3,4,10,4,3,7,13,6,8,1,0,4,1,0,0,0,0
"TASMANIA","Small SUV","MINI","MINI Countryman","PHEV",2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Ute (4WD)","Chevrolet","Chevrolet Silverado HD","ICE",5,9,9,8,13,14,14,13,10,17,19,21,11,23,23,23,18
"QUEENSLAND","Large SUV","Maserati","Maserati Levante","Hybrid",8,4,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0
"TASMANIA","Large SUV","Volvo Car","Volvo XC90","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NEW SOUTH WALES","Small Car","MINI","MINI Cooper","BEV",0,0,0,0,0,0,0,0,0,0,74,36,46,29,35,36,48
"SOUTH AUSTRALIA","Small Car","Toyota","Toyota Corolla","Hybrid",280,390,293,427,163,239,490,371,261,406,470,336,356,331,363,370,336
"SOUTH AUSTRALIA","Small Car","MG","MG MG3","ICE",301,225,183,175,210,193,163,267,198,211,217,145,94,153,70,68,82
"SOUTH AUSTRALIA","People Mover","LDV","LDV G10 Wagon","ICE",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VICTORIA","Small SUV","Peugeot","Peugeot 2008","ICE",29,35,26,30,25,26,15,66,8,23,15,15,23,24,10,11,7
