OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source
,,"3241 Hume Hwy, Mount Adrah, 2729",Tesla,2,AC,22 kW,-35.19701206,147.821999,Cootamundra-gundagai Regional Council,2729,Existing Destination Chargers
,,"328 Main Rd, Newcastle, 2285",BP,4,DC,150 kW,-32.93782987,151.6567367,Lake Macquarie City Council,2285,Existing Fast Chargers
,,"329 Tinja Ln, Eurunderee, 2850",Tesla,2,AC,22 kW,-32.53594099,149.5842162,Mid-Western Regional Council,2850,Existing Destination Chargers
,,"329-339 Princes Hwy, Sydney, 2044",BP,2,DC,75 kW,-33.91611516,151.1728939,Inner West Council,2044,Existing Fast Chargers
,,"33 Cross St, Double Bay, 2028",Porsche Smart Mobility,2,AC,11 kW,-33.87601006,151.2432703,Woollahra Municipal Council,2028,Existing Destination Chargers
,,"33 Moate St, Newcastle, 2298",Chargefox,2,DC,60 kW,-32.90870375,151.7304655,Newcastle City Council,2298,Existing Fast Chargers
,,"33 Smith St, Newcastle, 2290",Exploren,1,AC,22 kW,-32.96547552,151.6961712,Lake Macquarie City Council,2290,Existing Destination Chargers
,,"33 Smith Street, Sydney, 2036",Exploren,1,AC,22 kW,-33.94856361,151.2253223,Bayside Council,2036,Existing Destination Chargers
,,"330 Pennant Hills Rd, Pennant Hills NSW 2120",Evie,2,DC,50 kW,-33.7366211,151.0743388,"Hornsby, The Council of the Shire of",2120,ARENA - Driving the Nation
,,"336 Oakey Creek Rd, Pokolbin, 2320",Tesla,2,AC,6 kW,-32.80881186,151.3064164,Cessnock City Council,2320,Existing Destination Chargers
,,"338 King St, Sydney, 2020",Tesla,2,AC,22 kW,-33.92847552,151.1862683,Bayside Council,2020,Existing Destination Chargers
,,"339 Warialda St, Moree, 2400",Tesla,1,AC,8 kW,-29.47530335,149.8456396,Moree Plains Shire Council,2400,Existing Destination Chargers
,,"34 Annie Pyers Dr, Gundagai , 2722",Tesla,12,DC,130 kW,-35.00212117,148.1098549,Cootamundra-gundagai Regional Council,2722,Existing Fast Chargers
,,"34 Echo Point Rd, Katoomba, 2780",Everty,2,AC,22 kW,-33.73081186,150.3122212,Blue Mountains City Council,2780,Existing Destination Chargers
,,"34 Isabel Dr, Murrumbateman, 2582",Tesla,2,AC,22 kW,-34.97784789,149.0079289,Yass Valley Council,2582,Existing Destination Chargers
,,"34 Macpherson St, Sydney, 2024",Exploren,1,AC,22 kW,-33.90540245,151.257962,Waverley Council,2024,Existing Destination Chargers
,,"34 Morley Ave, Rosebery, 2018",EVX,2,AC,22 kW,-33.91598103,151.2031862,"Sydney, Council of the City of",2018,Existing Destination Chargers
,,"342 Conadilly St, Gunnedah, 2380",Tesla,2,AC,17 kW,-30.98004809,150.2576597,Gunnedah Shire Council,2380,Existing Destination Chargers
,,"342 Kanahooka Rd, Brownsville, NSW, 2530",Ampol,2,DC,125 kW,-34.4859664,150.8064594,Wollongong City Council,2530,ARENA - Driving the Nation
,,"345 Dangarsleigh Rd, Armidale, 2350",Tesla,1,AC,6 kW,-30.55532537,151.6826547,Armidale Regional Council,2350,Existing Destination Chargers
,,"345 Lawrence Hargrave Dr, Thirroul , NSW 2515",EVX,2,AC,22 kW,-34.31759264,150.9184815,Wollongong City Council,NSW 2515,Existing Destination Chargers
,,"345 Victoria Ave, Chatswood NSW 2067",Engie,2,DC,150 kW,-33.7945647,151.18613,Willoughby City Council,2067,ARENA - Driving the Nation
,,"345 Victoria Ave, Sydney, 2067",Chargefox,2,AC,6 kW,-33.79456461,151.1861301,Willoughby City Council,2067,Existing Destination Chargers
,,"345 Victoria Ave, Sydney, 2067",Chargefox,2,DC,150 kW,-33.79304309,151.1865576,Willoughby City Council,2067,Existing Fast Chargers
,,"3483 Jerrys Plains Rd, Jerrys Plains, 2330",Tesla,12,DC,130 kW,-32.44806211,150.8316627,Muswellbrook Shire Council,2330,Existing Fast Chargers
,,"35 Perry St, Mudgee, 2850",ChargeHub,4,AC,22 kW,-32.59411016,149.5859209,Mid-Western Regional Council,2850,Existing Destination Chargers
,,"3-5 Underwood Rd, Homebush NSW 2140",Engie,2,DC,150 kW,-33.8556219,151.0767955,Strathfield Municipal Council,2140,ARENA - Driving the Nation
,,"3-5 Underwood Rd, Sydney, 2140",Chargefox,2,AC,22 kW,-33.85562167,151.0767968,Strathfield Municipal Council,2140,Existing Destination Chargers
,,"35 Woodburn St, Evans Head, 2473",EVX,2,AC,22 kW,-29.11760465,153.4303974,Richmond Valley Council,2473,Existing Destination Chargers
,,"350 Church St, Sydney, 2150",Tesla,4,AC,22 kW,-33.81027432,151.0055475,"Parramatta, Council of the City of",2150,Existing Destination Chargers
,,"351 Oran Park Drive, Sydney, 2570",Exploren,20,AC,22 kW,-34.00046151,150.7405926,Camden Council,2570,Existing Destination Chargers
,,"35-39 Lord St, Port Macquarie, 2444",Chargefox,4,AC,22 kW,-31.43441846,152.9171882,Port Macquarie-Hastings Council,2444,Existing Destination Chargers
,,"36 Blue St, Sydney, 2060",Chargefox,3,AC,22 kW,-33.84031436,151.207023,"North Sydney, Council of the City of Council",2060,Existing Destination Chargers
,,"36 Blue St, Sydney, 2060",Tesla,3,AC,22 kW,-33.84084389,151.2072583,"North Sydney, Council of the City of Council",2060,Existing Destination Chargers
,,"36 College St, Sydney, 2010",Tesla,2,AC,6 kW,-33.87597502,151.2126787,"Sydney, Council of the City of",2010,Existing Destination Chargers
,,"361 Milperra Rd, Sydney, 2200",Chargefox,6,AC,22 kW,-33.92839244,150.9902803,Canterbury Bankstown Council,2200,Existing Destination Chargers
,,"361A Bobbin Head Rd, Sydney, 2074",Exploren,2,AC,22 kW,-33.70250355,151.1487277,Ku-ring-gai Council,2074,Existing Destination Chargers
,,"368 Anzac Pde, Sydney, 2032",BP,2,DC,75 kW,-33.91983588,151.226974,Randwick City Council,2032,Existing Fast Chargers
,,"37 Nabiac St, Nabiac, 2312",NRMA,2,DC,50 kW,-32.09907112,152.3815746,Mid-Coast Council,2312,Existing Fast Chargers
,,"37-39 Baird Ave, Sydney, 2036",Chargefox,2,AC,22 kW,-33.95798203,151.2301031,Randwick City Council,2036,Existing Destination Chargers
,,"37-39 O'Donnell St, Sydney, 2026",Exploren,1,AC,22 kW,-33.8841562,151.2819439,Waverley Council,2026,Existing Destination Chargers
,,"375-383 Windsor Rd, Sydney, 2153",Tesla,1,AC,22 kW,-33.75896601,150.9915866,The Hills Shire Council,2153,Existing Destination Chargers
,,"375-383 Windsor Rd, Sydney, 2153",Tesla,4,DC,250 kW,-33.75869074,150.9914705,The Hills Shire Council,2153,Existing Fast Chargers
,,"38 Abbott Rd, Seven Hills NSW 2147",Ampol,2,DC,125 kW,-33.7668115,150.9549656,Blacktown City Council,2147,ARENA - Driving the Nation
,,"38 Flora St, Sydney, 2232",Chargefox,4,DC,47 kW,-34.03434039,151.0726517,Sutherland Shire Council,2232,Existing Fast Chargers
,,"38 Swift St, Holbrook, 2644",Tesla,9,DC,250 kW,-35.72254759,147.3175105,Greater Hume Shire Council,2644,Existing Fast Chargers
,,"387 Lake Rd, Newcastle, 2285",Tesla,2,AC,22 kW,-32.93174479,151.6396707,Lake Macquarie City Council,2285,Existing Destination Chargers
,,"387 Lake Road, Newcastle, 2285",Chargefox,1,AC,6 kW,-32.9355556,151.6443664,Lake Macquarie City Council,2285,Existing Destination Chargers
,,"388 Edgecliff Rd, Sydney, 2025",Exploren,1,AC,22 kW,-33.88320925,151.2420531,Woollahra Municipal Council,2025,Existing Destination Chargers
,,"389 Pitt Street, Sydney, 2000",Exploren,2,AC,6 kW,-33.87696501,151.2074955,"Sydney, Council of the City of",2000,Existing Destination Chargers
,,"39 Clarence St, Tabulam, 2469",Exploren,2,AC,22 kW,-28.89041046,152.5665976,Kyogle Council,2469,Existing Destination Chargers
,,"39 East Espl, Sydney, 2095",Gentari,1,AC,11 kW,-33.79983388,151.286,Northern Beaches Council,2095,Existing Destination Chargers
,,"39 Seignior St, Junee, 2663",Tesla,2,AC,22 kW,-34.87101406,147.5825415,Junee Shire Council,2663,Existing Destination Chargers
,,"3A Cowell St, Sydney, 2111",Evie,2,DC,75 kW,-33.83281286,151.1277918,"Hunters Hill, The Council of the Municipality of",2111,Existing Fast Chargers
,,"4 Defries Ave, Sydney, 2017",Tesla,3,AC,22 kW,-33.90483888,151.212997,"Sydney, Council of the City of",2017,Existing Destination Chargers
,,"4 Defries Ave, Sydney, 2017",Ampol,6,DC,150 kW,-33.90556061,151.2126807,"Sydney, Council of the City of",2017,Existing Fast Chargers
,,"4 Finch Dr, Sydney, 2036",Chargefox,1,AC,22 kW,-33.93998603,151.2254314,Bayside Council,2036,Existing Destination Chargers
,,"4 Harris St, Newcastle, 2287",Chargefox,2,AC,22 kW,-32.90017122,151.6694595,Newcastle City Council,2287,Existing Destination Chargers
,,"4 Pinaroo Place, Sydney, 2066",Exploren,1,AC,22 kW,-33.80568773,151.156033,Lane Cove Municipal Council,2066,Existing Destination Chargers
,,"4 Tindall St, Sydney, 2560",Evie,4,DC,150 kW,-34.07206311,150.8051261,Campbelltown City Council,2560,Existing Fast Chargers
,,"40 Blackbutts Rd, Sydney, 2086",Exploren,1,AC,22 kW,-33.74183088,151.2137838,Northern Beaches Council,2086,Existing Destination Chargers
,,"40 Gouldsbury St, Sydney, 2088",Evie,2,DC,75 kW,-33.82807512,151.2434454,Mosman Municipal Council,2088,Existing Fast Chargers
,,"40 Jersey Rd, Sydney, 2770",Chargefox,2,DC,160 kW,-33.74376581,150.809028,Blacktown City Council,2770,Existing Fast Chargers
,,"40 Kingsway, Sydney, 2099",Tesla,1,AC,22 kW,-33.75031336,151.2863123,Northern Beaches Council,2099,Existing Destination Chargers
,,"40 Langlee Ave, Sydney, 2024",Saascharge,5,AC,22 kW,-33.89782187,151.2588849,Waverley Council,2024,Existing Destination Chargers
,,"40 Oxley Street, Sydney, 2570",Exploren,2,AC,22 kW,-34.05424729,150.6946687,Camden Council,2570,Existing Destination Chargers
,,"40 Panmure St, Sydney, 2155",JOLT,2,DC,25 kW,-33.68328033,150.9165856,The Hills Shire Council,2155,Existing Fast Chargers
,,"40 Wharf Rd, Newcastle, 2300",Chargefox,8,AC,6 kW,-32.92472277,151.7883063,Newcastle City Council,2300,Existing Destination Chargers
,,"40 William St, Port Macquarie, 2444",Tesla,2,AC,6 kW,-31.43106011,152.9190691,Port Macquarie-Hastings Council,2444,Existing Destination Chargers
,,"400 Panorama Ave, Bathurst, 2795",Exploren,2,AC,20 kW,-33.44007412,149.562035,Bathurst Regional Council,2795,Existing Destination Chargers
,,"401 Cabramatta Rd W, Cabramatta NSW 2166",Evie,4,DC,50 kW,-33.898778,150.919791,Fairfield City Council,2166,ARENA - Driving the Nation
,,"403 Tarean Rd, Karuah, 2324",Chargefox,6,DC,185 kW,-32.6538509,151.9625806,Port Stephens Council,2324,Existing Fast Chargers
,,"405 Pacific Hwy, Sydney, 2064",Chargefox,2,DC,50 kW,-33.81391396,151.1777027,Willoughby City Council,2064,Existing Fast Chargers
,Hay Shire Council,"406 Moppett St
Hay NSW 2711
Australia",Exploren,4,AC,AC,-34.5089561,144.8428431,Hay Shire Council,2711,Destination Charging R1
,,"41 Bruxner Hwy, Ballina, 2478",BP,2,DC,75 kW,-28.86161666,153.5169069,Ballina Shire Council,2478,Existing Fast Chargers
,,"41 Endeavour Ave, La Perouse, 2036",Chargefox,2,AC,22 kW,-33.98706911,151.2321672,Randwick City Council,2036,Existing Destination Chargers
,,"41 Violet St, Katoomba, 2780",Exploren,4,AC,22 kW,-33.72801306,150.3007918,Blue Mountains City Council,2780,Existing Destination Chargers
,,"41 Yambo St, Morisset, 2264",Exploren,1,AC,22 kW,-33.10739544,151.487048,Lake Macquarie City Council,2264,Existing Destination Chargers
,,"41 Yobarnie Ave, Richmond, 2754",Exploren,2,DC,180 kW,-33.58328633,150.7009239,Hawkesbury City Council,2754,Existing Fast Chargers
,,"4-10 Hillcrest Rd, Sydney, 2120",Exploren,2,AC,11 kW,-33.73726031,151.071037,"Hornsby, The Council of the Shire of",2120,Existing Destination Chargers
,,"41-47 Shepherds Dr, Sydney, 2126",Tesla,2,AC,22 kW,-33.72114519,151.0444505,"Hornsby, The Council of the Shire of",2126,Existing Destination Chargers
,,"417 Hinterland Way, Knockrow, 2479",ChargePoint,2,AC,3 kW,-28.74979684,153.5343183,Ballina Shire Council,2479,Existing Destination Chargers
,,"417-439 Bunnerong Rd, Sydney, 2035",Chargefox,8,DC,25 kW,-33.95139644,151.232049,Randwick City Council,2035,Existing Fast Chargers
,,"419 Captains Flat Rd, Carwoola, 2620",Tesla,1,AC,3 kW,-35.35577982,149.3044424,Queanbeyan-Palerang Regional Council,2620,Existing Destination Chargers
,,"42 Camden Rd, Sydney, 2560",Chargefox,4,DC,200 kW,-34.07161666,150.8059289,Campbelltown City Council,2560,Existing Fast Chargers
,,"42 Cloete St, Young, 2594",Chargefox,4,AC,22 kW,-34.31460365,148.2962713,Hilltops Council,2594,Existing Destination Chargers
,,"42 Lake Canobolas Rd, Nashdale, 2800",Exploren,1,AC,22 kW,-33.29907712,149.0193874,Cabonne Council,2800,Existing Destination Chargers
,,"42 Malakoff St, Sydney, 2204",Exploren,2,AC,22 kW,-33.90799604,151.1567167,Inner West Council,2204,Existing Destination Chargers
,,"427 McDonalds Rd, Pokolbin, 2320",Tesla,2,AC,22 kW,-32.77564769,151.2999429,Cessnock City Council,2320,Existing Destination Chargers
,,"43 Station St, Newcastle, 2293",Chargefox,2,AC,22 kW,-32.92302207,151.7572342,Newcastle City Council,2293,Existing Destination Chargers
,,"430 Marion St, Sydney, 2200",Chargefox,4,AC,22 kW,-33.91510615,150.9937177,Canterbury Bankstown Council,2200,Existing Destination Chargers
,,"430 Wine Country Drive, Lovedale, 2325",Exploren,5,AC,22 kW,-32.78157562,151.3490951,Cessnock City Council,2325,Existing Destination Chargers
,,"433 Ulan Rd, Buckaroo, 2850",Tesla,1,AC,22 kW,-32.56309714,149.6203163,Mid-Western Regional Council,2850,Existing Destination Chargers
,,"44 Bangalow Rd, Ballina, 2478",Chargefox,4,DC,120 kW,-28.85743948,153.5614054,Ballina Shire Council,2478,Existing Fast Chargers
,,"44 Broadarrow Rd, Sydney, 2209",JOLT,2,DC,25 kW,-33.94841746,151.0710831,Georges River Council,2209,Existing Fast Chargers
,,"44 Cherry St, Ballina, 2478",EVX,2,AC,22 kW,-28.868951,153.5622252,Ballina Shire Council,2478,Existing Destination Chargers
,,"44 Mileham Ave, Sydney, 2153",Exploren,2,AC,6 kW,-33.74476881,150.9915385,The Hills Shire Council,2153,Existing Destination Chargers
,,"44 Molesworth St, Lismore, 2480",Chargefox,2,DC,75 kW,-28.80654859,153.2786376,Lismore City Council,2480,Existing Fast Chargers
,,"44 Station St
Wickham NSW 2293
Australia",Chargefox,2,AC,22 kW,-32.9230228,151.7572335,Newcastle City Council,2293,Kerbside Charging R1
,,"446 Dean St, Albury, 2640",Exploren,4,AC,22 kW,-36.08063568,146.9216096,Albury City Council,2640,Existing Destination Chargers
,,"44-60 Allison Cres, Sydney, 2234",Exploren,2,AC,22 kW,-34.01364569,151.0171041,Sutherland Shire Council,2234,Existing Destination Chargers
,,"45 Riverbank Dr, Sydney, 2769",Chargefox,1,AC,6 kW,-33.70588893,150.9104284,Blacktown City Council,2769,Existing Destination Chargers
,,"45 Syncarpia Cres, Central Coast, 2250",Exploren,1,AC,22 kW,-33.3942563,151.3283504,Central Coast Council,2250,Existing Destination Chargers
,,"455 George St, Sydney, 2000",Tesla,2,AC,22 kW,-33.8712573,151.2063043,"Sydney, Council of the City of",2000,Existing Destination Chargers
,,"455 George St, Sydney, 2000",Exploren,2,DC,60 kW,-33.87152357,151.2067017,"Sydney, Council of the City of",2000,Existing Fast Chargers
,,"46 Dutruc Street, Sydney, 2031",Exploren,1,AC,22 kW,-33.91201606,151.245013,Randwick City Council,2031,Existing Destination Chargers
,,"46 Hercules St, Sydney, 2067",EV Meter,1,AC,11 kW,-33.79563568,151.1881121,Willoughby City Council,2067,Existing Destination Chargers
,,"4-6 New St, Lawson NSW 2783",Evie,4,DC,50 kW,-33.720695,150.429727,Blue Mountains City Council,2783,ARENA - Driving the Nation
,,"4-6 Niangala Cl, Belrose NSW 2085",Evie,4,DC,50 kW,-33.703313,151.213158,Northern Beaches Council,2085,ARENA - Driving the Nation
,,"46 Peach Tree Rd, Megalong Valley, 2785",Chargefox,1,AC,22 kW,-33.69111616,150.2486817,Blue Mountains City Council,2785,Existing Destination Chargers
,,"46 Providence Rd, Providence Portal, 2629",Tesla,5,AC,5 kW,-35.94206611,148.6272122,Snowy Monaro Regional Council,2629,Existing Destination Chargers
,,"461 Victoria Rd, Sydney, 2111",Exploren,2,DC,120 kW,-33.8208589,151.121011,"Ryde, Council of the City of",2111,Existing Fast Chargers
,,"462 Chapel Rd N, Sydney, 2200",Tesla,2,AC,22 kW,-33.9132593,151.0334715,Canterbury Bankstown Council,2200,Existing Destination Chargers
,,"4655 Jenolan Caves Road, Jenolan, 2790",Tesla,2,AC,19 kW,-33.82146351,150.0216787,Oberon Council,2790,Existing Destination Chargers
,,"47 Airport Rd, Albion Park Rail, 2527",ChargeHub,1,AC,22 kW,-34.56110015,150.79104,Shellharbour City Council,2527,Existing Destination Chargers
,,"472 Pacific Hwy, Sydney, 2066",JOLT,2,DC,25 kW,-33.80837842,151.1785636,Lane Cove Municipal Council,2066,Existing Fast Chargers
,,"47-49A Cleary St, Newcastle, 2303",Chargefox,2,DC,60 kW,-32.92120425,151.747975,Newcastle City Council,2303,Existing Fast Chargers
,,"481 Princes Hwy, Sydney, 2232",Ampol,2,DC,150 kW,-34.02936741,151.0807237,Sutherland Shire Council,2232,Existing Fast Chargers
,,"487 Sydney Rd, Sydney, 2093",BP,2,DC,75 kW,-33.7953594,151.255969,Northern Beaches Council,2093,Existing Fast Chargers
,,"49 Harrison St, Newcastle, 2285",Exploren,1,AC,22 kW,-32.94098803,151.6599069,Lake Macquarie City Council,2285,Existing Destination Chargers
,,"49 Macquarie Rd, Newcastle, 2285",ChargeHub,4,AC,22 kW,-32.94269074,151.6574705,Lake Macquarie City Council,2285,Existing Destination Chargers
,,"49 Nile St, Orange, 2800",Tesla,2,AC,22 kW,-33.28196501,149.1125716,Orange City Council,2800,Existing Destination Chargers
,,"49 Tower Rd, Sydney, 2200",Chargefox,6,AC,22 kW,-33.92263868,150.982025,Canterbury Bankstown Council,2200,Existing Destination Chargers
,,"490 Macleay Valley Way, South Kempsey, 2440",Exploren,2,AC,22 kW,-31.11738843,152.8269229,Kempsey Shire Council,2440,Existing Destination Chargers
,,"4968 Mitchell Hwy, Orange, 2800",Tesla,2,AC,17 kW,-33.31640045,149.1466146,Orange City Council,2800,Existing Destination Chargers
,,"5 Beames Ave, Sydney, 2766",Chargefox,2,AC,22 kW,-33.77242047,150.8435886,Blacktown City Council,2766,Existing Destination Chargers
,,"5 Bishop St, Sydney, 2106",EVX,2,AC,6 kW,-33.65727432,151.3155646,Northern Beaches Council,2106,Existing Destination Chargers
,,"5 Footbridge Blvd, Sydney, 2127",Tesla,2,AC,22 kW,-33.82481886,151.0771852,"Parramatta, Council of the City of",2127,Existing Destination Chargers
,,"5 King St, Newcastle, 2300",Tesla,1,AC,22 kW,-32.92911916,151.7849419,Newcastle City Council,2300,Existing Destination Chargers
,,"5 Norton Ln, Bowral, 2576",Tesla,1,AC,6 kW,-34.49678483,150.4471632,Wingecarribee Shire Council,2576,Existing Destination Chargers
,,"5 Ray St, Sydney, 2074",Exploren,2,DC,40 kW,-33.73201706,151.1273493,Ku-ring-gai Council,2074,Existing Fast Chargers
,,"5 Snapper Dr, Lennox Head, 2478",Chargefox,2,AC,22 kW,-28.80750055,153.5821481,Ballina Shire Council,2478,Existing Destination Chargers
,,"5 Tilba St, Narooma, 2546",Tesla,2,AC,22 kW,-36.21966171,150.1333904,Eurobodalla Shire Council,2546,Existing Destination Chargers
,,"5 Willowdale Dr, Denham Court NSW 2565",Evie,4,DC,75 kW,-33.97585397,150.811619,Campbelltown City Council,2565,ARENA - Driving the Nation
,,"50 Bathurst St, Brewarrina, NSW 2839, Australia",NRMA,4,DC,75 kW,-30.3247856,149.784033,Brewarrina Shire Council,2390,TfNSW Regional
,,"50 Lowe St, Queanbeyan, 2620",NRMA,1,AC,22 kW,-35.35493498,149.2336006,Queanbeyan-Palerang Regional Council,2620,Existing Destination Chargers
,,"50 O'Sullivan Rd, Sydney, 2029",Chargefox,2,DC,40 kW,-33.87899704,151.2623363,Woollahra Municipal Council,2029,Existing Fast Chargers
,,"50 Pembroke St, Sydney, 2131",Exploren,2,AC,22 kW,-33.88539144,151.1322382,Inner West Council,2131,Existing Destination Chargers
,,"50 Wiley St, Sydney, 2024",Exploren,1,AC,22 kW,-33.89987192,151.2566737,Waverley Council,2024,Existing Destination Chargers
,,"509-517 The Entrance Rd, Central Coast, 2261",Tesla,2,AC,19 kW,-33.36742647,151.4756166,Central Coast Council,2261,Existing Destination Chargers
,,"51 Bathurst St, Condobolin, 2877",Exploren,2,AC,22 kW,-33.08860065,147.1494875,Lachlan Shire Council,2877,Existing Destination Chargers
,,"51 Metford Rd, Maitland, 2323",Chargefox,12,AC,22 kW,-32.75912517,151.6068999,Maitland City Council,2323,Existing Destination Chargers
,,"516 Punchbowl Rd Cnr Wangee Rd, Lakemba, NSW, 2195",Ampol,2,DC,125 kW,-33.911492,151.0732469,Canterbury Bankstown Council,2195,ARENA - Driving the Nation
,,"52 Albert Ave, Sydney, 2067",Chargefox,6,AC,7 kW,-33.79807412,151.1844274,Willoughby City Council,2067,Existing Destination Chargers
,,"52 Pembroke St
Ashfield NSW 2131
Australia",EVE Australia,2,AC,22 kW,-33.8853908,151.1322384,Inner West Council,2131,Kerbside Charging R1
,,"52 Princes Hwy, Bodalla, 2545",Tesla,2,AC,6 kW,-36.08683088,150.0495225,Eurobodalla Shire Council,2545,Existing Destination Chargers
,,"52 Taylor Rd, Albion Park, 2527",Exploren,4,AC,22 kW,-34.57038143,150.7687437,Shellharbour City Council,2527,Existing Destination Chargers
,Albury City Council,"520 David St
Albury NSW 2640
Australia",Exploren,4,AC,AC,-36.0806351,146.9216087,Albury City Council,2640,Destination Charging R1
,,"528 John Oxley Dr, Thrumster, 2444",NRMA,2,DC,50 kW,-31.45803208,152.8274244,Port Macquarie-Hastings Council,2444,Existing Fast Chargers
,,"52-88 Great Western Hwy, Medlow Bath, 2780",Tesla,2,AC,19 kW,-33.67531036,150.2805916,Blue Mountains City Council,2780,Existing Destination Chargers
,,"53 East St, Harden, 2587",Exploren,4,AC,22 kW,-34.5628579,148.3611061,Hilltops Council,2587,Existing Destination Chargers
,,"53 Sydney Rd, Goulburn, 2580",Chargefox,2,DC,50 kW,-34.74796201,149.7496456,Goulburn Mulwaree Council,2580,Existing Fast Chargers
,,"536 New South Head Rd, Sydney, 2028",Chargefox,6,AC,6 kW,-33.87276581,151.2474124,Woollahra Municipal Council,2028,Existing Destination Chargers
,,"53-71 Rowe Street, Sydney, 2122",Exploren,2,AC,22 kW,-33.79059064,151.0844184,"Ryde, Council of the City of",2122,Existing Destination Chargers
,,"53A Orient St, Batemans Bay, 2536",Evie,2,DC,50 kW,-35.71073278,150.1776366,Eurobodalla Shire Council,2536,Existing Fast Chargers
,,"54 Brighton St, Sydney, 2132",JOLT,2,DC,25 kW,-33.89474579,151.1096857,Burwood Council,2132,Existing Fast Chargers
,,"54 Gordon Cres, Lane Cove North, 2066",EVX,2,AC,22 kW,-33.80640545,151.1616096,Lane Cove Municipal Council,2066,Existing Destination Chargers
,,"54 Meninya St, Moama, 2731",Tesla,2,AC,22 kW,-36.11153658,144.7536416,Murray River Council,2731,Existing Destination Chargers
,,"54 Minjungbal Dr, Tweed Heads, 2486",Evie,4,DC,150 kW,-28.19898503,153.545985,Tweed Shire Council,2486,Existing Fast Chargers
,,"54-76 Captain Cook Dr, Caringbah NSW 2229",Evie,4,DC,75 kW,-34.0329857,151.1250638,Wollondilly Shire Council,2229,ARENA - Driving the Nation
,,"55 Campbell St, Sydney, 2148",Exploren,4,AC,6 kW,-33.77243348,150.9092262,Blacktown City Council,2148,Existing Destination Chargers
,,"55 North Steyne, Sydney, 2095",Tesla,4,AC,22 kW,-33.7915586,151.286988,Northern Beaches Council,2095,Existing Destination Chargers
,,"55 Pyrmont St, Pyrmont, 2009",EVX,2,AC,22 kW,-33.86814819,151.1941592,"Sydney, Council of the City of",2009,Existing Destination Chargers
,,"55 Train St, Broulee, 2537",EVUp,1,AC,22 kW,-35.84471676,150.169967,Eurobodalla Shire Council,2537,Existing Destination Chargers
,,"550 Bunnerong Rd, Sydney, 2036",JOLT,2,DC,25 kW,-33.9610561,151.2309449,Randwick City Council,2036,Existing Fast Chargers
,,"550 Kiewa Street, Albury, 2640",Exploren,4,AC,22 kW,-36.07816121,146.9167477,Albury City Council,2640,Existing Destination Chargers
,,"555 Hermitage Rd, Pokolbin, 2320",Tesla,1,AC,11 kW,-32.69682387,151.2628258,Singleton Council,2320,Existing Destination Chargers
,,"555 High St, Maitland, 2320",Chargefox,2,AC,22 kW,-32.72884189,151.54997,Maitland City Council,2320,Existing Destination Chargers
,,"55-65 Murray St, Sydney, 2009",Non-networked,2,AC,22 kW,-33.87192597,151.197966,"Sydney, Council of the City of",2009,Existing Destination Chargers
,,"56 Morpeth St, Harwood , 2465",Tesla,8,DC,130 kW,-29.42699904,153.2391471,Clarence Valley Council,2465,Existing Fast Chargers
,,"561-583 Polding St, Sydney, 2176",Tesla,2,AC,22 kW,-33.85886191,150.8987518,Fairfield City Council,2176,Existing Destination Chargers
,,"56-58 Frenchs Rd, Sydney, 2068",EVX,2,AC,22 kW,-33.80729434,151.200025,Willoughby City Council,2068,Existing Destination Chargers
,,"5-7 Ascot St, Sydney, 2033",EVX,2,AC,22 kW,-33.90801006,151.2247628,Randwick City Council,2033,Existing Destination Chargers
,,"57 Boronia St, Sawtell, 2452",Tesla,2,AC,19 kW,-30.36993498,153.0991642,Coffs Harbour City Council,2452,Existing Destination Chargers
,,"57 Ekerts Rd, Pokolbin, 2320",Porsche Smart Mobility,2,AC,11 kW,-32.77579084,151.2813243,Cessnock City Council,2320,Existing Destination Chargers
,,"57 Ekerts Rd, Pokolbin, 2320",Tesla,2,AC,22 kW,-32.77544549,151.2817437,Cessnock City Council,2320,Existing Destination Chargers
,,"57 Ellendon St, Bungendore, 2621",Tesla,2,AC,6 kW,-35.25696301,149.4401772,Queanbeyan-Palerang Regional Council,2621,Existing Destination Chargers
,,"574 Henry Lawson Dr, Eurunderee, 2850",Tesla,2,AC,22 kW,-32.52793998,149.6118689,Mid-Western Regional Council,2850,Existing Destination Chargers
,,"58 Phillip St, West Tamworth , 2340",Tesla,8,DC,130 kW,-31.10164969,150.9171261,Tamworth Regional Council,2340,Existing Fast Chargers
,,"580 Parramatta Rd, Sydney, 2132",BP,4,DC,75 kW,-33.87410415,151.1267628,Inner West Council,2132,Existing Fast Chargers
,,"580 Princes Hwy, Sydney, 2232",Tesla,6,DC,250 kW,-34.03339744,151.0731502,Sutherland Shire Council,2232,Existing Fast Chargers
,,"59 Bridge Street, Morisset, 2264",Exploren,1,AC,22 kW,-33.10741046,151.4897147,Lake Macquarie City Council,2264,Existing Destination Chargers
,,"59 The Centre, Sydney, 2087",JOLT,2,DC,25 kW,-33.76210915,151.2142012,Northern Beaches Council,2087,Existing Fast Chargers
,,"593 Mount View Rd, Mount View, 2325",Tesla,1,AC,22 kW,-32.83938143,151.2985646,Cessnock City Council,2325,Existing Destination Chargers
