OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source
,,"1 Perry St, Batemans Bay, 2536",Evie,4,DC,75 kW,-35.70737242,150.1761672,Eurobodalla Shire Council,2536,Existing Fast Chargers
,,"1 Plunkett St, Sydney, 2065",Exploren,2,DC,50 kW,-33.8215586,151.1964124,Willoughby City Council,2065,Existing Fast Chargers
,,"1 Porter St, Byron Bay, 2481",Chargefox,11,AC,22 kW,-28.63114219,153.5822593,Byron Shire Council,2481,Existing Destination Chargers
,,"1 Railway Pde, Sydney, 2217",Tesla,2,AC,6 kW,-33.96202107,151.1331081,Georges River Council,2217,Existing Destination Chargers
,,"1 Reina Street, Sydney, 2026",Exploren,1,AC,22 kW,-33.8818579,151.2752853,Waverley Council,2026,Existing Destination Chargers
,,"1 Rider Blvd, Sydney, 2138",Tesla,3,AC,22 kW,-33.83552757,151.0841261,"Canada Bay Council, City of",2138,Existing Destination Chargers
,,"1 Salisbury Rd, Sydney, 2154",Tesla,1,AC,6 kW,-33.73073778,150.9734024,The Hills Shire Council,2154,Existing Destination Chargers
,,"1 Seabeach Ave, Sydney, 2103",Chargefox,2,AC,6 kW,-33.67677782,151.3098839,Northern Beaches Council,2103,Existing Destination Chargers
,,"1 Stanley St, Sydney, 2025",EVX,2,AC,22 kW,-33.88848053,151.2444605,Woollahra Municipal Council,2025,Existing Destination Chargers
,,"1 Sterling Cct, Sydney, 2050",Saascharge,1,AC,22 kW,-33.88474779,151.1766086,"Sydney, Council of the City of",2050,Existing Destination Chargers
,,"1 Sublime Point Rd, Leura, 2780",Exploren,4,AC,22 kW,-33.72087992,150.3514194,Blue Mountains City Council,2780,Existing Destination Chargers
,,"1 Wharf St, Tweed Heads, 2485",Tesla,6,DC,250 kW,-28.17378983,153.5445165,Tweed Shire Council,2485,Existing Fast Chargers
,,"1 Williamtown Drive, Williamtown, 2318",Chargefox,6,AC,22 kW,-32.80442447,151.8391211,Port Stephens Council,2318,Existing Destination Chargers
,,"1/9 Railway Parade, Kogarah NSW 2217",Evie,4,DC,150 kW,-33.9624686,151.1324696,Georges River Council,2217,ARENA - Driving the Nation
,,"10 Brookfield Rd, Minto NSW 2566",Evie,4,DC,75 kW,-34.03094307,150.8490285,Campbelltown City Council,2566,ARENA - Driving the Nation
,,"10 Burkinshaw St, Barooga, 3644",Exploren,2,AC,22 kW,-35.9064535,145.6867497,Berrigan Shire Council,3644,Existing Destination Chargers
